,page,doctorate,len_page,female,male,category,count,nobel_field
15254,Édouard-Gérard Balbiani,0,349,False,True,Microbiologists,1,Physiology or Medicine
15255,Peter A. Carruthers,0,422,False,True,20th-century_physicists,1,Physics
15256,Antoine Béchamp,0,1489,False,True,Microbiologists,1,Physiology or Medicine
15257,Yasmine Belkaid,0,2099,True,False,Microbiologists,1,Physiology or Medicine
15258,Theodore Case,0,2699,False,True,20th-century_physicists,1,Physics
15259,Jean Binot,0,300,False,True,Microbiologists,1,Physiology or Medicine
15260,William E. Caswell,1,1530,False,True,20th-century_physicists,1,Physics
15261,Alfred Boquet,0,485,False,True,Microbiologists,1,Physiology or Medicine
15262,Emory Leon Chaffee,1,496,False,True,20th-century_physicists,1,Physics
15263,Bruce Chalmers,0,720,False,True,20th-century_physicists,1,Physics
15264,Amédée Borrel,0,867,False,True,Microbiologists,1,Physiology or Medicine
15265,Owen Chamberlain,1,2335,False,True,20th-century_physicists,1,Physics
15266,Henri Boulard,0,768,False,True,Microbiologists,1,Physiology or Medicine
15267,Alain Chabaud,0,1887,False,True,Microbiologists,1,Physiology or Medicine
15268,Leroy Chang,0,3154,False,True,20th-century_physicists,1,Physics
15269,Charles Chamberland,0,909,False,True,Microbiologists,1,Physiology or Medicine
15270,Daryl Chapin,0,1431,False,True,20th-century_physicists,1,Physics
15271,André Chantemesse,0,1076,False,True,Microbiologists,1,Physiology or Medicine
15272,Carl T. Chase,1,1190,False,True,20th-century_physicists,1,Physics
15273,Jean Comandon,0,1391,False,True,Microbiologists,1,Physiology or Medicine
15274,Patricia Cladis,0,1390,True,False,20th-century_physicists,1,Physics
15275,Casimir Davaine,0,1109,False,True,Microbiologists,1,Physiology or Medicine
15276,David Delano Clark,1,908,False,True,20th-century_physicists,1,Physics
15277,Onésime Delafond,0,397,False,True,Microbiologists,1,Physiology or Medicine
15278,Émile Duclaux,1,1192,False,True,Microbiologists,1,Physiology or Medicine
15279,Walter Dunhan Claus,1,1232,False,True,20th-century_physicists,1,Physics
15280,Édouard Dujardin-Beaumetz,0,339,False,True,Microbiologists,1,Physiology or Medicine
15281,Claud E. Cleeton,0,967,False,True,20th-century_physicists,1,Physics
15282,René Dujarric de la Rivière,0,932,False,True,Microbiologists,1,Physiology or Medicine
15283,Kenneth Stewart Cole,1,4278,False,True,20th-century_physicists,1,Physics
15284,H. Elion,0,1795,False,True,Microbiologists,1,Physiology or Medicine
15285,Sidney Coleman,1,2045,False,True,20th-century_physicists,1,Physics
15286,Marie Louis Victor Galippe,0,1166,False,True,Microbiologists,1,Physiology or Medicine
15287,Samuel Collins (physicist),0,1451,False,True,20th-century_physicists,1,Physics
15288,Adrien Loir,0,497,False,True,Microbiologists,1,Physiology or Medicine
15289,Arthur Compton,0,8100,False,True,20th-century_physicists,1,Physics
15290,Karl Taylor Compton,1,3448,False,True,20th-century_physicists,1,Physics
15291,Marguerite Lwoff,0,654,True,False,Microbiologists,1,Physiology or Medicine
15292,Daniel Frost Comstock,1,1094,False,True,20th-century_physicists,1,Physics
15293,Émile Marchoux,0,980,False,True,Microbiologists,1,Physiology or Medicine
15294,Donald Cooksey,0,764,False,True,20th-century_physicists,1,Physics
15295,Auguste-Charles Marie,0,423,False,True,Microbiologists,1,Physiology or Medicine
15296,Rodney L. Cool,1,248,False,True,20th-century_physicists,1,Physics
15297,Félix Mesnil,0,985,False,True,Microbiologists,1,Physiology or Medicine
15298,Jacques Monod,0,5046,False,True,Microbiologists,1,Physiology or Medicine
15299,Duane H. Cooper,1,364,False,True,20th-century_physicists,1,Physics
15300,Ernest Mosny,0,884,False,True,Microbiologists,1,Physiology or Medicine
15301,Franklin S. Cooper,1,1382,False,True,20th-century_physicists,1,Physics
15302,Léopold Nègre,0,949,False,True,Microbiologists,1,Physiology or Medicine
15303,James W. Corbett,1,1074,False,True,20th-century_physicists,1,Physics
15304,Charles Nicolle,0,2591,False,True,Microbiologists,1,Physiology or Medicine
15305,Bruce Cork,0,83,False,True,20th-century_physicists,1,Physics
15306,Maurice Nicolle,0,920,False,True,Microbiologists,1,Physiology or Medicine
15307,William R. Corliss,0,1857,False,True,20th-century_physicists,1,Physics
15308,Edmond Nocard,0,726,False,True,Microbiologists,1,Physiology or Medicine
15309,R. Orin Cornett,1,1681,False,True,20th-century_physicists,1,Physics
15310,Louis Pasteur,0,16497,False,True,Microbiologists,1,Physiology or Medicine
15311,Robert Cornog,0,1027,False,True,20th-century_physicists,1,Physics
15312,Charles Pilet,0,3107,False,True,Microbiologists,1,Physiology or Medicine
15313,Stanley Corrsin,1,1336,False,True,20th-century_physicists,1,Physics
15314,Didier Raoult,0,3788,False,True,Microbiologists,1,Physiology or Medicine
15315,Clyde Cowan,1,1746,False,True,20th-century_physicists,1,Physics
15316,Paul Remlinger,0,295,False,True,Microbiologists,1,Physiology or Medicine
