,page,field,count_female_words,count_male_words,count_nonbinary_words,doctorate,len_page
200,Stanisław Broniewski,20th-century_economists,0,14,0,0,1150
201,Tiemen Brouwer,20th-century_economists,0,2,0,0,620
202,"Wilfred Brown, Baron Brown",20th-century_economists,0,4,0,0,1822
203,Karl Brunner (economist),20th-century_economists,0,19,5,0,3616
204,Markus Brunnermeier,20th-century_economists,0,25,1,1,2729
205,Michael Bruno,20th-century_economists,0,64,4,0,3165
206,Nils Brunsson,20th-century_economists,0,20,0,0,1270
207,Robert Bryce,20th-century_economists,0,13,0,0,1502
208,Adam Budnikowski,20th-century_economists,0,6,0,0,448
209,Anton Julius Butter,20th-century_economists,0,10,0,0,947
210,Derek Byerlee,20th-century_economists,0,3,0,0,506
211,Ricardo J. Caballero,20th-century_economists,0,5,0,1,1592
212,Berta Cabral,20th-century_economists,8,0,0,0,1095
213,Federico Caffè,20th-century_economists,0,15,1,0,1656
214,Sydney Caine,20th-century_economists,0,8,0,0,1140
215,Alexander Cairncross (economist),20th-century_economists,0,16,0,0,1402
216,Cecilia Calderón,20th-century_economists,10,0,0,0,1381
217,Albert Calmes,20th-century_economists,0,9,0,0,1204
218,Irene Calvert,20th-century_economists,20,0,0,0,584
219,Guillermo Calvo,20th-century_economists,1,34,2,1,4020
220,Balla Camara,20th-century_economists,0,2,0,0,527
221,Gordon Cameron (academic),20th-century_economists,0,3,0,0,1302
222,Luis Caputo,20th-century_economists,0,20,0,0,1781
223,Guido Carli,20th-century_economists,0,24,0,0,728
224,Sune Carlson,20th-century_economists,0,6,0,0,1004
225,Muriel Casals i Couturier,20th-century_economists,9,0,0,0,1183
226,Cornelius Castoriadis,20th-century_economists,3,110,19,0,17141
227,Marin Ceaușescu,20th-century_economists,0,5,0,0,244
228,D. G. Champernowne,20th-century_economists,0,15,0,0,1109
229,Agatha Chapman,20th-century_economists,44,2,1,0,1971
230,Chen Xujing,20th-century_economists,0,8,0,0,1019
231,Andrew Chesher,20th-century_economists,0,11,0,0,1042
232,Steven N. S. Cheung,20th-century_economists,0,47,0,0,3958
233,Ana María Choquehuanca,20th-century_economists,8,0,0,0,939
234,Carl Christ,20th-century_economists,0,4,0,0,795
235,Frederic F. Clairmont,20th-century_economists,0,3,0,0,708
236,Colin Clark (economist),20th-century_economists,0,34,2,0,2846
237,William D. Clark,20th-century_economists,0,9,0,0,1165
238,Ronald Coase,20th-century_economists,1,53,7,0,6931
239,Donald Cochrane (economist),20th-century_economists,0,3,0,0,621
240,Ruth Cohen (economist),20th-century_economists,18,0,0,0,640
241,Josep Colomer,20th-century_economists,0,2,0,0,962
242,H. C. Coombs,20th-century_economists,0,62,0,0,3195
243,Robert de Cotret,20th-century_economists,0,5,0,0,1457
244,René Courtin,20th-century_economists,0,0,0,0,279
245,Dag Coward,20th-century_economists,0,3,0,0,644
246,John Crawford (economist),20th-century_economists,0,3,1,0,1445
247,Raymond Crotty,20th-century_economists,0,34,0,0,1908
248,William Cunningham (economist),20th-century_economists,0,12,0,0,2598
249,Janet Currie,20th-century_economists,28,0,1,1,3149
250,Pike Curtin,20th-century_economists,0,11,0,0,691
