,page,field,count_female_words,count_male_words,count_nonbinary_words,doctorate,len_page
8228,Barney Brooks,20th-century_surgeons,0,15,0,0,529
8229,Firouz Partovi,21st-century_American_physicists,6,0,0,1,906
8230,Benjy F. Brooks,20th-century_surgeons,39,0,1,0,2433
8231,Lennox Broster,20th-century_surgeons,4,49,1,0,3830
8232,Sabrina Gonzalez Pasterski,21st-century_American_physicists,0,18,0,1,1630
8233,Dorothy Lavinia Brown,20th-century_surgeons,48,1,0,0,2253
8234,Jogesh Pati,21st-century_American_physicists,0,21,0,1,5152
8235,James Johnston Mason Brown,20th-century_surgeons,0,55,1,0,2261
8236,Heather Patrick,21st-century_American_physicists,0,20,0,0,1707
8237,Roberto Peccei,21st-century_American_physicists,0,12,0,0,1006
8238,Oswald Taylor Brown,20th-century_surgeons,0,17,0,0,1099
8239,Jim Peebles,21st-century_American_physicists,0,16,0,1,1304
8240,Denis Browne (surgeon),20th-century_surgeons,3,65,2,0,2675
8241,John Bruce (surgeon),20th-century_surgeons,0,26,2,0,1416
8242,Claudio Pellegrini,21st-century_American_physicists,0,25,0,1,2025
8243,Alexander Brunschwig,20th-century_surgeons,0,5,0,0,455
8244,John Peoples Jr.,21st-century_American_physicists,0,10,0,1,818
8245,G. B. Buckley,20th-century_surgeons,0,13,0,0,924
8246,Anthony Peratt,21st-century_American_physicists,0,6,0,1,692
8247,John Perdew,21st-century_American_physicists,0,6,0,1,1812
8248,Arthur H. Bulbulian,20th-century_surgeons,0,10,0,0,516
8249,Živojin Bumbaširević,20th-century_surgeons,0,6,0,1,216
8250,Peter Pershan,21st-century_American_physicists,0,7,0,0,855
8251,Harry J. Buncke,20th-century_surgeons,0,10,0,0,1309
8252,Michael Peskin,21st-century_American_physicists,0,20,1,0,1943
8253,Heinrich Bürkle de la Camp,20th-century_surgeons,0,6,0,0,270
8254,Hrvoje Petek,21st-century_American_physicists,0,41,4,1,3907
8255,Georges Burou,20th-century_surgeons,4,66,2,0,3314
8256,Montrose Thomas Burrows,20th-century_surgeons,0,17,3,0,1925
8257,Alexey A. Petrov,21st-century_American_physicists,0,24,0,1,2433
8258,Ivan Georgiev Petrov,21st-century_American_physicists,0,28,1,1,1471
8259,Stanford Cade,20th-century_surgeons,1,35,2,0,1726
8260,Arlie Petters,21st-century_American_physicists,0,8,1,1,1669
8261,John Cairney (anatomist),20th-century_surgeons,0,1,0,0,557
8262,Roderic I. Pettigrew,21st-century_American_physicists,0,2,1,0,677
8263,James Charles Phillips,21st-century_American_physicists,0,7,0,1,659
8264,Ewan Cameron,20th-century_surgeons,0,7,0,0,364
8265,David J. Pine,21st-century_American_physicists,8,0,0,0,1948
8266,James Roderick Johnston Cameron,20th-century_surgeons,2,11,1,0,804
8267,Lawrence Pinsky,21st-century_American_physicists,0,14,0,1,2427
8268,Murdoch Cameron,20th-century_surgeons,2,23,0,0,1561
8269,David W. Piston,21st-century_American_physicists,0,10,3,0,2337
8270,Bradford Cannon,20th-century_surgeons,0,8,0,0,820
8271,John Berton Carnett,20th-century_surgeons,0,5,0,0,678
8272,E. Gail de Planque,21st-century_American_physicists,0,15,0,1,1692
8273,Walter Carr (physician),20th-century_surgeons,0,4,1,0,673
8274,Ward Plummer,21st-century_American_physicists,0,12,0,1,1218
8275,David Carter (surgeon),20th-century_surgeons,0,11,0,0,886
8276,Hugh David Politzer,21st-century_American_physicists,0,3,0,1,333
8277,Charles Walker Cathcart,20th-century_surgeons,0,46,6,0,2974
8278,Steven Pollock,21st-century_American_physicists,0,3,0,0,319
8279,Richard Cattell (surgeon),20th-century_surgeons,0,14,1,0,1215
8280,Alexander I. Poltorak,21st-century_American_physicists,0,4,0,1,614
8281,Philip Caves,20th-century_surgeons,0,25,1,0,2509
8282,Alexios Polychronakos,21st-century_American_physicists,1,13,0,1,1124
8283,Terence Cawthorne,20th-century_surgeons,0,5,1,0,1128
8284,Ervín Černý,20th-century_surgeons,0,29,2,0,1144
8285,Francesco Pompei,21st-century_American_physicists,0,0,0,0,52
8286,Steve Chan,20th-century_surgeons,0,10,0,0,1785
8287,Christopher Pope,21st-century_American_physicists,0,0,14,0,4955
8288,Martin Pope,21st-century_American_physicists,0,0,0,0,52
8289,Geoffrey Duncan Chisholm,20th-century_surgeons,2,22,1,0,1143
8290,Julian Chorążycki,20th-century_surgeons,0,23,5,0,2233
8291,Miklos Porkolab,21st-century_American_physicists,0,12,0,0,809
8292,Edward Delos Churchill,20th-century_surgeons,0,17,0,0,1504
8293,Mason Porter,21st-century_American_physicists,0,12,0,1,1305
8294,Pedro Chutró,20th-century_surgeons,0,1,0,0,307
8295,Arthur M. Poskanzer,21st-century_American_physicists,0,15,0,1,1258
8296,Antoni Cieszyński,20th-century_surgeons,0,2,0,0,647
8297,Theodore Postol,21st-century_American_physicists,0,10,0,1,1080
8298,Marcus Clarke (doctor),20th-century_surgeons,3,12,1,0,992
8299,James R. Powell,21st-century_American_physicists,0,10,0,0,1001
8300,Patrick Clarkson,20th-century_surgeons,0,36,0,0,2006
8301,Richard C. Powell,21st-century_American_physicists,39,0,5,0,4366
8302,Roy Clauss,20th-century_surgeons,1,9,1,0,281
8303,Charles Y. Prescott,21st-century_American_physicists,0,8,0,0,1363
8304,William Cleland (surgeon),20th-century_surgeons,0,7,1,0,673
8305,John Preskill,21st-century_American_physicists,0,12,0,1,1157
8306,William Close,20th-century_surgeons,2,27,2,0,2219
8307,John Prestage,21st-century_American_physicists,0,8,0,0,998
8308,Ralph Bingham Cloward,20th-century_surgeons,0,39,1,0,819
8309,Julie C. Price,21st-century_American_physicists,0,4,0,1,884
8310,Victoria Coffey,20th-century_surgeons,40,1,1,1,2038
8311,P. Buford Price,21st-century_American_physicists,0,2,0,0,576
8312,Ernesto Cofiño,20th-century_surgeons,0,25,0,0,841
8313,Richard H. Price,21st-century_American_physicists,1,16,1,1,2905
8314,Joseph Comiti,20th-century_surgeons,0,1,0,0,779
8315,Thomas Prince (scientist),21st-century_American_physicists,0,17,7,1,2472
8316,Frank Cook (surgeon),20th-century_surgeons,0,9,1,0,565
8317,David E. Pritchard,21st-century_American_physicists,0,11,0,1,1515
8318,Zachary Cope,20th-century_surgeons,2,21,0,0,1959
8319,Clement Pryke,21st-century_American_physicists,4,0,0,1,739
8320,Ira Delbert Cotnam,20th-century_surgeons,0,9,0,0,737
8321,Claude Couinaud,20th-century_surgeons,0,3,0,0,726
8322,Jorge Pullin,21st-century_American_physicists,0,17,0,0,3144
8323,Clarence Crafoord,20th-century_surgeons,0,1,0,0,990
8324,Harold E. Puthoff,21st-century_American_physicists,0,18,6,1,1676
8325,Arthur Crawford (Australian politician),20th-century_surgeons,0,9,0,0,885
8326,Chris Quigg,21st-century_American_physicists,0,20,0,0,4308
8327,Mary M. Crawford,20th-century_surgeons,15,0,1,0,1415
8328,Judith Racusin,21st-century_American_physicists,0,2,0,1,1248
8329,Paul-Henri Cugnenc,20th-century_surgeons,0,0,0,0,240
8330,Johann Rafelski,21st-century_American_physicists,0,11,0,0,2750
8331,Alastair Currie,20th-century_surgeons,0,20,3,0,1061
8332,Mark G. Raizen,21st-century_American_physicists,0,19,0,1,1781
8333,Varadaraja V. Raman,21st-century_American_physicists,0,7,0,1,882
8334,M. V. Ramana,21st-century_American_physicists,0,9,0,1,1822
8335,Ulysses Grant Dailey,20th-century_surgeons,0,84,9,0,3622
8336,Sriram Ramaswamy,21st-century_American_physicists,0,36,0,1,3494
8337,Walter Dandy,20th-century_surgeons,0,10,0,0,3378
8338,Pierre Ramond,21st-century_American_physicists,0,8,0,0,1385
8339,Hallowell Davis,20th-century_surgeons,3,0,0,0,803
8340,Saul Rappaport,21st-century_American_physicists,29,4,4,1,2497
8341,Joyce Daws,20th-century_surgeons,14,1,0,0,1117
8342,Paul Raskin,21st-century_American_physicists,14,0,0,0,1752
8343,Edith Kate Dawson,20th-century_surgeons,0,34,1,0,1369
8344,Bhakta B. Rath,21st-century_American_physicists,0,4,0,1,666
8345,John Leonard Dawson,20th-century_surgeons,0,15,0,0,1582
8346,Bharat Ratra,21st-century_American_physicists,0,12,0,1,1721
8347,Elizabeth Rauscher,21st-century_American_physicists,0,10,0,1,1326
8348,John Blair Deaver,20th-century_surgeons,0,86,3,0,7752
8349,Manijeh Razeghi,21st-century_American_physicists,0,10,0,1,1680
8350,Michael DeBakey,20th-century_surgeons,0,7,0,0,392
8351,Sidney Redner,21st-century_American_physicists,0,9,1,0,1299
8352,Arthur DeBoer,20th-century_surgeons,0,4,0,0,188
8353,Kennedy J. Reed,21st-century_American_physicists,0,16,0,1,1576
8354,Wiktor Dega,20th-century_surgeons,0,33,0,0,2324
8355,Ion Degen,20th-century_surgeons,0,20,0,0,1767
8356,Mark Reed (physicist),21st-century_American_physicists,5,0,0,1,935
8357,Peter V. Delaney,20th-century_surgeons,0,65,4,0,3161
8358,John J. Rehr,21st-century_American_physicists,0,5,1,0,1238
8359,Vladimir Demikhov,20th-century_surgeons,1,29,1,0,1905
8360,David Reitze,21st-century_American_physicists,12,0,2,1,2292
8361,Jim Dempster,20th-century_surgeons,0,20,0,0,1452
8362,John Reppy,21st-century_American_physicists,24,0,0,0,1695
8363,Clarence Dennis,20th-century_surgeons,0,18,1,0,806
8364,Elizabeth Rhoades,21st-century_American_physicists,9,0,0,0,1329
8365,Andrew Dent,20th-century_surgeons,1,24,2,0,2661
8366,Clinton Thomas Dent,20th-century_surgeons,0,25,0,0,1138
8367,Albin Rhomberg,21st-century_American_physicists,0,23,2,1,1929
8368,Anthony F. DePalma,20th-century_surgeons,0,9,0,0,1735
8369,Katharina Ribbeck,21st-century_American_physicists,0,25,1,1,1874
8370,Kathleen A. Richardson,21st-century_American_physicists,0,24,0,1,1511
8371,Yustin Djanelidze,20th-century_surgeons,16,0,0,0,953
8372,Louise Riofrio,21st-century_American_physicists,0,7,1,0,1340
8373,Habiba Djilani,20th-century_surgeons,2,36,0,0,947
8374,Mark O. Robbins,21st-century_American_physicists,0,6,0,1,952
8375,Liam Donaldson,20th-century_surgeons,0,15,0,0,616
8376,Willie Rockward,21st-century_American_physicists,0,23,0,1,1866
8377,John P. Donohue,20th-century_surgeons,0,29,0,0,977
8378,Juan Gualterio Roederer,21st-century_American_physicists,0,11,0,0,653
8379,Kiernan Dorney,20th-century_surgeons,3,27,3,1,1462
8380,Robert Rohde,21st-century_American_physicists,8,0,1,0,1166
8381,Norman Dott,20th-century_surgeons,0,37,0,0,1836
8382,Ryan Rohm,21st-century_American_physicists,0,15,0,1,2331
8383,Donald Douglas (surgeon),20th-century_surgeons,1,68,3,1,5416
8384,Lester Dragstedt,20th-century_surgeons,0,14,0,0,1447
8385,Bruce Rosen,21st-century_American_physicists,0,40,1,1,3359
8386,Gerald Harris Rosen,21st-century_American_physicists,0,2,0,0,592
8387,Charles Drew (surgeon),20th-century_surgeons,1,45,1,0,5177
8388,Rachel Rosen,21st-century_American_physicists,0,12,1,1,3570
8389,Jonathan Drummond-Webb,20th-century_surgeons,0,10,1,0,473
8390,E. Lloyd Du Brul,20th-century_surgeons,0,9,0,0,1206
8391,Thomas Felix Rosenbaum,21st-century_American_physicists,0,1,1,0,1890
8392,Charles Dubost (surgeon),20th-century_surgeons,0,17,1,0,1397
8393,Michael Rossmann,21st-century_American_physicists,0,2,0,0,748
8394,Léon Dufourmentel,20th-century_surgeons,0,22,0,0,2057
8395,William B. Rossow,21st-century_American_physicists,0,33,2,1,3079
8396,Robert Duthie,20th-century_surgeons,0,47,0,0,3160
8397,Michael Roukes,21st-century_American_physicists,0,2,0,1,364
8398,Charles Odamtten Easmon,20th-century_surgeons,0,30,0,0,1505
8399,Paul Ebert,20th-century_surgeons,0,21,1,0,3627
8400,Edward Rubenstein,21st-century_American_physicists,0,6,0,1,1034
8401,Joseph Rudnick,21st-century_American_physicists,0,7,0,1,1063
8402,Carlos Echandi,20th-century_surgeons,14,0,0,0,770
8403,Mary Lee Edward,20th-century_surgeons,0,40,2,0,2622
8404,Paul Ruffin,21st-century_American_physicists,0,12,0,0,1066
8405,Jimmy Edwards,20th-century_surgeons,0,45,1,0,2238
8406,John Ruhl,21st-century_American_physicists,0,8,2,0,2525
8407,Tudor Edwards,20th-century_surgeons,0,3,0,0,440
8408,David Saltzberg,21st-century_American_physicists,0,11,0,1,846
8409,Louis Effler,20th-century_surgeons,0,5,0,0,737
8410,Leif Efskind,20th-century_surgeons,10,5,1,0,954
8411,Nitin Samarth,21st-century_American_physicists,0,38,2,0,3122
8412,Louise Eisenhardt,20th-century_surgeons,1,15,0,0,1317
8413,Nicholas P. Samios,21st-century_American_physicists,0,9,0,1,671
8414,J. Norman Elliott,20th-century_surgeons,1,13,1,0,875
8415,Stuart Samuel (physicist),21st-century_American_physicists,0,10,1,1,2013
8416,Rune Elmqvist,20th-century_surgeons,0,12,0,0,1436
8417,John A. Sanderson,21st-century_American_physicists,0,22,0,1,1336
8418,Leo Eloesser,20th-century_surgeons,0,8,0,0,321
8419,Ruggero Santilli,21st-century_American_physicists,3,29,3,1,2600
8420,Mohyeldin Elzein,20th-century_surgeons,0,22,0,0,1667
8421,Charles Santori,21st-century_American_physicists,0,2,0,0,404
8422,Friedrich Entress,20th-century_surgeons,0,21,2,0,1049
8423,Fred Epstein,20th-century_surgeons,0,8,0,0,884
8424,Jack Sarfatti,21st-century_American_physicists,0,10,0,0,796
8425,Peter Essex-Lopresti,20th-century_surgeons,0,10,2,0,2211
8426,Rahul Sarpeshkar,21st-century_American_physicists,0,4,0,1,1385
8427,Fred Ewing,20th-century_surgeons,1,24,1,0,1481
8428,Jeffrey Satinover,21st-century_American_physicists,17,1,2,1,1423
8429,Maurice Ewing (surgeon),20th-century_surgeons,0,28,1,0,1489
8430,Ernest Fahmy,20th-century_surgeons,0,10,0,0,940
8431,Isidor Sauers,21st-century_American_physicists,0,21,3,1,1512
8432,Gordon S. Fahrni,20th-century_surgeons,0,3,0,0,659
8433,Douglas James Scalapino,21st-century_American_physicists,0,10,0,0,1136
8434,Harry Fang,20th-century_surgeons,2,72,3,0,3230
8435,Terry Schalk,21st-century_American_physicists,4,0,1,1,1265
8436,Temple Fay,20th-century_surgeons,0,19,0,1,1400
8437,James Haig Ferguson,20th-century_surgeons,0,7,0,0,2908
8438,Heidi Schellman,21st-century_American_physicists,0,5,0,0,985
8439,Enrique Finochietto,20th-century_surgeons,0,1,0,0,354
8440,Ellery Schempp,21st-century_American_physicists,0,17,0,1,1722
8441,Axel Scherer,21st-century_American_physicists,0,17,2,1,2055
8442,Frederic Foley,20th-century_surgeons,1,48,6,0,4060
8443,Monika Schleier-Smith,21st-century_American_physicists,0,4,0,0,1096
8444,Maud Forrester-Brown,20th-century_surgeons,0,41,0,0,1407
8445,Jeff Schmidt (writer),21st-century_American_physicists,0,15,0,1,1629
8446,W. R. Forrester-Wood,20th-century_surgeons,26,0,0,0,1383
8447,Stanley Schmidt,21st-century_American_physicists,0,8,0,0,870
8448,Isabella Forshall,20th-century_surgeons,2,17,0,0,2069
8449,William Edward Fothergill,20th-century_surgeons,0,2,0,0,907
8450,Robert J. Schoelkopf,21st-century_American_physicists,0,6,0,1,978
8451,"Robert Fowler (surgeon, soldier)",20th-century_surgeons,0,2,0,0,714
8452,Timothy Schrabback,21st-century_American_physicists,0,6,0,0,853
8453,Claude Frankau,20th-century_surgeons,0,48,0,0,1463
8454,Ian Fraser (surgeon),20th-century_surgeons,0,36,2,0,1497
8455,Gerald Schroeder,21st-century_American_physicists,0,12,0,1,2121
8456,James Fraser (surgeon),20th-century_surgeons,0,45,0,1,3330
8457,Ivan K. Schuller,21st-century_American_physicists,0,5,0,1,891
8458,John Fraser (surgeon),20th-century_surgeons,0,18,0,0,578
8459,Benjamin Schumacher,21st-century_American_physicists,0,5,0,0,797
8460,Kenneth Fraser,20th-century_surgeons,0,9,1,0,1269
8461,Bernard F. Schutz,21st-century_American_physicists,0,10,0,0,1524
8462,Gene Freed,20th-century_surgeons,0,14,0,0,1017
8463,Keith Schwab,21st-century_American_physicists,1,13,0,1,2063
8464,Ernest Arthur Freeman,20th-century_surgeons,0,3,2,1,1553
8465,Jerome Swartz,21st-century_American_physicists,0,14,0,0,924
8466,Maksim Fridman,20th-century_surgeons,0,25,2,0,1918
8467,Svyatoslav Fyodorov,20th-century_surgeons,1,32,1,0,2180
8468,Steven Jay Schwartz,21st-century_American_physicists,0,28,0,0,2065
8469,Sam Galbraith,20th-century_surgeons,0,17,0,0,861
8470,Albert Schwarz,21st-century_American_physicists,5,0,0,0,697
8471,Herbert Gallagher,20th-century_surgeons,0,9,1,0,1121
8472,John Henry Schwarz,21st-century_American_physicists,3,14,3,1,2113
8473,William Gallie,20th-century_surgeons,0,19,2,0,1596
8474,Frank J. Sciulli,21st-century_American_physicists,0,8,0,0,1725
8475,Marlan Scully,21st-century_American_physicists,0,0,0,0,620
8476,Ramniklal K. Gandhi,20th-century_surgeons,0,14,0,0,1155
8477,Athena Sefat,21st-century_American_physicists,0,24,0,1,1743
8478,Charles Herbert Garvin,20th-century_surgeons,8,0,0,0,900
8479,Gino Claudio Segrè,21st-century_American_physicists,1,67,3,1,3578
8480,Dorothy Geddes,20th-century_surgeons,0,5,0,0,878
8481,Nathan Seiberg,21st-century_American_physicists,0,14,1,0,5565
8482,Traian Georgescu,20th-century_surgeons,0,8,0,0,1173
8483,Robert Sekerka,21st-century_American_physicists,0,22,0,1,1917
8484,Ivan Gevorkian,20th-century_surgeons,15,0,1,0,1137
8485,Natalia Gheorghiu,20th-century_surgeons,5,34,1,0,2574
8486,Sebastian Seung,21st-century_American_physicists,0,3,0,0,709
8487,Vladimir M. Shalaev,21st-century_American_physicists,0,6,0,0,891
8488,Jack Stanley Gibson,20th-century_surgeons,0,25,1,0,1003
8489,Thomas Gibson (surgeon),20th-century_surgeons,0,14,0,0,1415
8490,Charles V. Shank,21st-century_American_physicists,0,19,0,0,1080
8491,Ramamurti Shankar,21st-century_American_physicists,0,2,0,1,853
8492,Andrew Rae Gilchrist,20th-century_surgeons,38,0,0,0,2243
8493,Robert R. Shannon,21st-century_American_physicists,0,4,0,0,2403
8494,Hastings Gilford,20th-century_surgeons,0,5,0,0,516
8495,Robert Shaw (physicist),21st-century_American_physicists,0,0,0,0,728
8496,Alexander Gillies,20th-century_surgeons,0,31,1,0,2169
8497,Zhi-Xun Shen,21st-century_American_physicists,0,17,0,0,1482
8498,John Gillies (anaesthetist),20th-century_surgeons,0,13,0,0,1262
8499,Stephen Shenker,21st-century_American_physicists,0,2,0,1,806
8500,Gustave Gingras,20th-century_surgeons,0,2,1,0,679
8501,Mikhail Shifman,21st-century_American_physicists,0,24,0,0,1292
8502,Leon Ginzburg,20th-century_surgeons,0,6,0,0,1192
8503,Chih-Kang Shih,21st-century_American_physicists,0,8,0,1,939
8504,Gathorne Robert Girdlestone,20th-century_surgeons,0,33,0,0,1222
8505,Gen Shirane,21st-century_American_physicists,0,11,0,0,967
8506,Tom Gleave,20th-century_surgeons,0,19,3,0,883
8507,Boris Shklovskii,21st-century_American_physicists,0,20,0,1,2741
8508,William Glenn,20th-century_surgeons,0,10,0,0,795
8509,Michael F. Shlesinger,21st-century_American_physicists,0,18,0,0,1319
8510,Angus Goetz,20th-century_surgeons,0,1,0,0,242
8511,Quan-Sheng Shu,21st-century_American_physicists,0,10,0,1,1029
8512,Robert H. Goetz,20th-century_surgeons,0,12,0,0,2570
8513,Michael Shur,21st-century_American_physicists,6,0,0,1,744
8514,Cuthbert Hilton Golding-Bird,20th-century_surgeons,0,5,0,0,350
8515,Irving B. Goldman,20th-century_surgeons,0,2,0,0,799
8516,Irfan Siddiqi,21st-century_American_physicists,0,5,0,0,1025
8517,Leon Goldman,20th-century_surgeons,1,22,2,0,1183
8518,Warren Siegel,21st-century_American_physicists,5,0,0,1,1460
8519,Leon Goldman (1904–1975),20th-century_surgeons,0,1,0,0,764
8520,Pierre Sikivie,21st-century_American_physicists,18,0,1,0,1869
8521,Frane Vinko Golem,20th-century_surgeons,0,22,0,0,2329
8522,Mary Silber,21st-century_American_physicists,0,15,0,0,454
8523,John Goligher,20th-century_surgeons,1,18,0,0,1041
8524,William T. Silfvast,21st-century_American_physicists,0,28,1,1,2088
8525,Dmitry Pavlovich Golubev,20th-century_surgeons,4,93,1,0,5280
8526,Eva Silverstein,21st-century_American_physicists,0,6,0,0,321
8527,Victor Gomoiu,20th-century_surgeons,0,25,1,0,1686
8528,Elizabeth H. Simmons,21st-century_American_physicists,20,0,7,1,1897
8529,Doris Gordon,20th-century_surgeons,0,13,0,0,958
8530,William W. Simmons (physicist),21st-century_American_physicists,0,10,0,1,1229
8531,Graham Gordon,20th-century_surgeons,7,0,0,0,1040
8532,Barry Simon,21st-century_American_physicists,0,2,0,0,630
8533,Valentina Gorinevskaya,20th-century_surgeons,0,7,2,1,3232
8534,Steven H. Simon,21st-century_American_physicists,4,0,0,1,946
8535,Arkyl Staveley Gough,20th-century_surgeons,13,0,0,0,1073
8536,Chandralekha Singh,21st-century_American_physicists,0,15,1,1,4699
8537,Alexander McGregor Grant,20th-century_surgeons,0,23,0,0,1711
8538,David Joseph Singh,21st-century_American_physicists,0,9,0,0,786
8539,Lachlan Grant,20th-century_surgeons,1,3,1,0,863
8540,William Skocpol,21st-century_American_physicists,0,20,4,1,1958
8541,Howdy Gray,20th-century_surgeons,43,0,0,0,1872
8542,Jessie Gray,20th-century_surgeons,7,0,0,0,1076
8543,Tracy Slatyer,21st-century_American_physicists,0,3,0,1,767
8544,Tina Gray,20th-century_surgeons,0,27,0,0,1595
8545,Milton Dean Slaughter,21st-century_American_physicists,0,11,0,0,2114
8546,Vivian Green-Armytage,20th-century_surgeons,0,4,0,0,227
8547,John Slonczewski,21st-century_American_physicists,0,7,0,0,772
8548,Vagharshak Grigoryan,20th-century_surgeons,7,65,2,0,3875
8549,Grigory Sarkisovich Grigoryants,20th-century_surgeons,0,7,0,0,245
8550,Christopher Slowe,21st-century_American_physicists,0,4,0,1,942
8551,Hermes Grillo,20th-century_surgeons,0,20,0,0,606
8552,Harold Slusher,21st-century_American_physicists,0,0,0,0,516
8553,Pierre Grondin,20th-century_surgeons,0,10,0,0,1920
8554,Larry Smarr,21st-century_American_physicists,0,15,1,1,2492
8555,Robert Edward Gross,20th-century_surgeons,0,21,0,0,1298
8556,David J. Smith (physicist),21st-century_American_physicists,0,12,0,0,1107
8557,Adam Gruca,20th-century_surgeons,0,10,0,0,707
8558,David R. Smith,21st-century_American_physicists,0,21,0,1,4106
8559,Jan Gullberg,20th-century_surgeons,0,1,0,0,2579
8560,F. Dow Smith,21st-century_American_physicists,0,4,0,1,461
8561,Chinmay Gupte,20th-century_surgeons,24,0,0,1,1751
8562,George E. Smith,21st-century_American_physicists,0,37,5,1,3923
8563,Angelina Guskova,20th-century_surgeons,0,1,0,1,206
8564,Peter Smith (scientist),21st-century_American_physicists,0,27,0,1,5139
8565,Donald Guthrie (physician),20th-century_surgeons,0,17,1,0,2029
8566,Wolfgang Smith,21st-century_American_physicists,0,10,0,1,477
8567,Werner Haase,20th-century_surgeons,0,9,0,0,1088
8568,John A. Smolin,21st-century_American_physicists,0,15,1,0,4071
8569,Alexander Haddow,20th-century_surgeons,0,22,0,0,1305
8570,Lee Smolin,21st-century_American_physicists,0,6,0,1,731
8571,J. Alex Haller,20th-century_surgeons,0,14,1,0,900
8572,George Smoot,21st-century_American_physicists,0,16,0,1,967
8573,Charles Skinner Hallpike,20th-century_surgeons,3,19,0,0,1130
8574,Joseph D. Sneed,21st-century_American_physicists,0,12,0,1,1782
8575,"Douglas Douglas-Hamilton, 14th Duke of Hamilton",20th-century_surgeons,0,6,0,0,2966
8576,Azharul Haque,20th-century_surgeons,0,13,1,0,3340
8577,David Snoke,21st-century_American_physicists,0,7,0,0,990
8578,Dwight Harken,20th-century_surgeons,0,56,3,0,2924
8579,Lee G. Sobotka,21st-century_American_physicists,0,23,0,1,5437
8580,Paul Randall Harrington,20th-century_surgeons,0,22,0,0,1457
8581,Robert H. Socolow,21st-century_American_physicists,0,11,0,0,1221
8582,S. W. Harrington,20th-century_surgeons,0,20,0,0,977
8583,Alan Sokal,21st-century_American_physicists,0,9,0,0,988
8584,Samuel Henry Harris,20th-century_surgeons,0,12,0,0,334
8585,Pierre Sokolsky,21st-century_American_physicists,0,13,0,1,1117
8586,Donald Harrison (surgeon),20th-century_surgeons,1,19,0,0,1289
8587,Johndale Solem,21st-century_American_physicists,0,9,0,1,380
8588,Mohammed Aboul-Fotouh Hassab,20th-century_surgeons,0,9,1,0,1334
8589,Marin Soljačić,21st-century_American_physicists,0,13,0,1,1383
8590,Somerville Hastings,20th-century_surgeons,0,0,0,0,204
8591,Davison Soper,21st-century_American_physicists,0,2,1,0,704
8592,Christopher Sorensen,21st-century_American_physicists,0,7,0,0,1062
8593,Rafael Sorkin,21st-century_American_physicists,0,8,0,1,1621
8594,Hassan Hathout,20th-century_surgeons,0,17,0,0,2003
8595,Costas Soukoulis,21st-century_American_physicists,0,8,0,1,282
8596,Carl R. Sovinec,21st-century_American_physicists,4,0,0,1,1150
8597,Johanna Hellman,20th-century_surgeons,9,46,0,0,1803
8598,Edward Spiegel,21st-century_American_physicists,0,1,0,0,729
8599,Melvin Starkey Henderson,20th-century_surgeons,29,0,2,0,1840
8600,Concepción Palacios Herrera,20th-century_surgeons,0,8,1,0,370
8601,Phillip Sprangle,21st-century_American_physicists,0,15,0,1,1527
8602,Jack Hibberd (politician),20th-century_surgeons,0,1,0,0,600
8603,Clint Sprott,21st-century_American_physicists,0,30,0,1,2132
8604,John Sydney Hicks,20th-century_surgeons,0,24,0,0,1403
8605,Suzanne Staggs,21st-century_American_physicists,0,2,0,0,720
8606,Henryk Hilarowicz,20th-century_surgeons,0,29,0,0,4139
8607,Scott Stambach,21st-century_American_physicists,0,21,0,1,1394
8608,Konrad Hirschfeld,20th-century_surgeons,0,49,1,0,1528
8609,Douglas Stanford,21st-century_American_physicists,0,19,0,1,1873
8610,John Raymond Hobbs,20th-century_surgeons,0,10,0,0,709
8611,Colin Hodgkinson (RAF officer),20th-century_surgeons,0,17,0,0,970
8612,H. Eugene Stanley,21st-century_American_physicists,0,44,9,1,8409
8613,Glenn D. Starkman,21st-century_American_physicists,0,9,0,1,866
8614,Johan Martin Holst,20th-century_surgeons,0,2,1,0,733
8615,Keivan Stassun,21st-century_American_physicists,0,9,0,1,1036
8616,"Alexander Hood (British Army officer, born 1888)",20th-century_surgeons,0,1,0,0,711
8617,Daniel L. Stein,21st-century_American_physicists,0,10,0,0,748
8618,Howard P. House,20th-century_surgeons,1,50,1,0,2592
8619,Paul Steinhardt,21st-century_American_physicists,0,28,0,0,2891
8620,James Howie (bacteriologist),20th-century_surgeons,3,10,0,0,905
8621,John Steinhoff,21st-century_American_physicists,0,19,0,0,2056
8622,Charles A. Hufnagel,20th-century_surgeons,0,24,0,0,1338
8623,George Sterman,21st-century_American_physicists,0,3,0,0,847
8624,Edward Hughes (surgeon),20th-century_surgeons,0,4,0,0,712
8625,James H. Stith,21st-century_American_physicists,0,0,0,0,587
8626,John Basil Hume,20th-century_surgeons,0,4,0,0,1393
8627,Gregory Stock,21st-century_American_physicists,0,3,0,0,397
8628,Hung Wen-tung,20th-century_surgeons,0,8,0,0,788
8629,Horst Ludwig Störmer,21st-century_American_physicists,0,14,0,1,1807
8630,James Holmes Hutchison,20th-century_surgeons,2,79,0,0,8163
8631,Pauls Stradiņš Jr,21st-century_American_physicists,0,8,0,1,2850
8632,Shigeto Ikeda,20th-century_surgeons,0,9,0,0,953
8633,Richard Stratt,21st-century_American_physicists,0,4,0,1,633
8634,Charles Illingworth,20th-century_surgeons,0,10,0,0,942
8635,Michael Strickland (physicist),21st-century_American_physicists,0,4,0,0,792
